'/4SpD2kESBSnNoPCO+MCtV6QZCP+9iISUVDVXGLX+qI=','ocp_io','2016-04-25 09:15:50'::timestamp,'2016-04-25 19:11:49'::timestamp,'A-132-0-030','A-132-0-073'
'gLrQi1Ex+z8P1HHay3yt+kK1PSwbj+hF45skyNKTkUQ=','btud','2016-04-26 14:07:39'::timestamp,'2016-04-26 15:00:51'::timestamp,'A-21-0-015','A-21-0-015'
'14da9VDPr+panEr0axPagVUpBb/4IMPVxT4RkRsEA5c=','world','2016-04-25 09:00:17'::timestamp,'2016-04-25 10:21:53'::timestamp,'None','None'
'14da9VDPr+panEr0axPagVUpBb/4IMPVxT4RkRsEA5c=','ogz','2016-04-25 10:21:53'::timestamp,'2016-04-25 10:47:16'::timestamp,'A-66-0-003','A-66-0-004'
'14da9VDPr+panEr0axPagVUpBb/4IMPVxT4RkRsEA5c=','ogz','2016-04-25 11:13:36'::timestamp,'2016-04-25 11:44:46'::timestamp,'A-66-0-040','A-66-0-040'
'14da9VDPr+panEr0axPagVUpBb/4IMPVxT4RkRsEA5c=','world','2016-04-25 13:19:26'::timestamp,'2016-04-26 10:49:49'::timestamp,'None','None'
'14da9VDPr+panEr0axPagVUpBb/4IMPVxT4RkRsEA5c=','ogz','2016-04-25 12:16:39'::timestamp,'2016-04-25 13:19:26'::timestamp,'A-66-0-021','A-66-0-004'
'pB1GxtaGK0Qov14DwWkmf8uPDZYJyFB08wUdNyEinfQ=','aula','2016-04-26 08:50:13'::timestamp,'2016-04-26 09:47:10'::timestamp,'A-20-0-015','A-20-0-037'
'pB1GxtaGK0Qov14DwWkmf8uPDZYJyFB08wUdNyEinfQ=','aula','2016-04-26 09:52:21'::timestamp,'2016-04-26 10:44:17'::timestamp,'A-20-0-014','A-20-0-016'
'pB1GxtaGK0Qov14DwWkmf8uPDZYJyFB08wUdNyEinfQ=','ocp_io','2016-04-26 10:55:03'::timestamp,'2016-04-26 14:18:10'::timestamp,'A-132-0-058','A-132-0-089'
'AvpdeoI8TAR5BLdw+oRatGXlgpQ1W5ZH/dCC3Gqp5s8=','world','2016-04-25 16:33:37'::timestamp,'2016-04-26 08:35:01'::timestamp,'None','None'
'AvpdeoI8TAR5BLdw+oRatGXlgpQ1W5ZH/dCC3Gqp5s8=','tnw_tn','2016-04-25 08:45:04'::timestamp,'2016-04-25 16:33:37'::timestamp,'A-22-0-079','A-22-0-079'
'AvpdeoI8TAR5BLdw+oRatGXlgpQ1W5ZH/dCC3Gqp5s8=','tnw_tn','2016-04-26 08:35:01'::timestamp,'2016-04-26 08:50:08'::timestamp,'A-22-0-079','A-22-0-079'
'NH3C//jQ5kwGcxgAXYbE9BiGCMsm4ut6lS50unFD4Lk=','aula','2016-04-25 10:47:30'::timestamp,'2016-04-25 12:32:27'::timestamp,'A-20-0-016','A-20-0-016'
't4sT8QhsuVtLip8uA2ss58zEA6AKO7sGFybrASaaKZs=','world','2016-04-25 15:41:02'::timestamp,'2016-04-25 21:22:38'::timestamp,'None','None'
't4sT8QhsuVtLip8uA2ss58zEA6AKO7sGFybrASaaKZs=','btud','2016-04-25 12:53:21'::timestamp,'2016-04-25 15:41:02'::timestamp,'A-21-0-046','A-21-0-048'
't4sT8QhsuVtLip8uA2ss58zEA6AKO7sGFybrASaaKZs=','world','2016-04-25 23:36:38'::timestamp,'2016-04-26 00:48:22'::timestamp,'None','None'
't4sT8QhsuVtLip8uA2ss58zEA6AKO7sGFybrASaaKZs=','sportcentrum','2016-04-25 21:27:39'::timestamp,'2016-04-25 23:36:38'::timestamp,'A-37-0-003','A-37-0-001'
't4sT8QhsuVtLip8uA2ss58zEA6AKO7sGFybrASaaKZs=','sportcentrum','2016-04-26 00:48:22'::timestamp,'2016-04-26 01:18:23'::timestamp,'A-37-0-001','A-37-0-001'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','citg','2016-04-25 13:56:08'::timestamp,'2016-04-25 15:15:36'::timestamp,'A-23-0-007','A-23-0-007'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','tnw_rid','2016-04-25 15:57:18'::timestamp,'2016-04-25 17:30:24'::timestamp,'A-50-0-024','A-50-0-024'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','tnw_dct','2016-04-25 17:56:01'::timestamp,'2016-04-25 18:11:14'::timestamp,'A-12-0-021','A-12-0-021'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','world','2016-04-25 18:21:14'::timestamp,'2016-04-26 09:05:41'::timestamp,'None','None'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','tnw_dct','2016-04-26 09:05:41'::timestamp,'2016-04-26 09:36:39'::timestamp,'A-12-0-047','A-12-0-051'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','tnw_dct','2016-04-26 10:02:46'::timestamp,'2016-04-26 12:08:16'::timestamp,'A-12-0-019','A-12-0-019'
'eX0yOF0yOvt+j3RLX6L+d7S2IGlEwALpum0GuQ5gw88=','tnw_dct','2016-04-26 12:49:00'::timestamp,'2016-04-26 14:49:58'::timestamp,'A-12-0-016','A-12-0-019'
'3i5g4duKZXRsc41GbZttoOb2ZhZBv7BDq64pk5SehCM=','bk_city','2016-04-26 11:31:46'::timestamp,'2016-04-26 13:25:37'::timestamp,'A-08-D-203','A-08-B-201'
'3i5g4duKZXRsc41GbZttoOb2ZhZBv7BDq64pk5SehCM=','bk_city','2016-04-26 13:51:41'::timestamp,'2016-04-26 14:50:14'::timestamp,'A-08-B-201','A-08-B-202'
'9Pn9nc/yvt6C2onS2e5yoagEaGzvG8g2VS5nm6S4LRI=','citg','2016-04-26 17:05:53'::timestamp,'2016-04-26 17:36:47'::timestamp,'A-23-0-031','A-23-0-031'
'KS1pjxFosmheKfHb4UdL054d+gO9Jdyxvc+1Wah+Lh8=','ocp_io','2016-04-26 10:55:03'::timestamp,'2016-04-26 12:54:19'::timestamp,'A-132-0-086','A-132-0-086'
'KS1pjxFosmheKfHb4UdL054d+gO9Jdyxvc+1Wah+Lh8=','ocp_io','2016-04-26 13:46:22'::timestamp,'2016-04-26 15:37:49'::timestamp,'A-132-0-060','A-132-0-060'
'4gm2M4YznMpR/A3gzGBihoo2hhVkfnuqQwuobu5Wqq4=','ocp_io','2016-04-25 10:52:43'::timestamp,'2016-04-25 11:39:46'::timestamp,'A-132-0-135','A-132-0-135'
'XK1SGWRs3cCyqwz6LK3c6FHhU/1j3Ki3GyZahLjIWyw=','ogz','2016-04-26 09:05:41'::timestamp,'2016-04-26 13:25:38'::timestamp,'A-66-0-046','A-66-0-004'
'XK1SGWRs3cCyqwz6LK3c6FHhU/1j3Ki3GyZahLjIWyw=','world','2016-04-26 15:58:38'::timestamp,'2016-04-26 18:27:33'::timestamp,'None','None'
'XK1SGWRs3cCyqwz6LK3c6FHhU/1j3Ki3GyZahLjIWyw=','lr','2016-04-26 13:25:51'::timestamp,'2016-04-26 15:58:38'::timestamp,'A-62-0-025','A-62-0-081'
'XK1SGWRs3cCyqwz6LK3c6FHhU/1j3Ki3GyZahLjIWyw=','world','2016-04-26 18:32:33'::timestamp,'2016-04-26 20:13:20'::timestamp,'None','None'
'vsKqG4IT57qGHH0LsraM9Omq5P2jRcpHodaHyDaYpiM=','ogz','2016-04-26 08:50:13'::timestamp,'2016-04-26 12:13:46'::timestamp,'A-66-0-012','A-66-0-023'
'bXSodjF+vrEi7PRRdong6ErJNbjxaj+alg0IuoWqSBY=','citg','2016-04-25 11:55:30'::timestamp,'2016-04-25 12:21:39'::timestamp,'A-23-0-066','A-23-0-066'
'LD8Z0IQPuQd8KhbQhTGsuohEOQ9Uh7VDRMvbytuj30k=','ocp_io','2016-04-26 11:47:32'::timestamp,'2016-04-26 12:48:47'::timestamp,'A-132-0-044','A-132-0-044'
'LD8Z0IQPuQd8KhbQhTGsuohEOQ9Uh7VDRMvbytuj30k=','world','2016-04-26 13:46:06'::timestamp,'2016-04-26 15:06:08'::timestamp,'None','None'
'LD8Z0IQPuQd8KhbQhTGsuohEOQ9Uh7VDRMvbytuj30k=','ocp_io','2016-04-26 13:20:38'::timestamp,'2016-04-26 13:46:06'::timestamp,'A-132-0-044','A-132-0-044'
'LD8Z0IQPuQd8KhbQhTGsuohEOQ9Uh7VDRMvbytuj30k=','ocp_io','2016-04-26 15:06:08'::timestamp,'2016-04-26 15:48:23'::timestamp,'A-132-0-046','A-132-0-095'
